latitude,longitude,reference_mgal,notebook_baseline_mgal,notebook_prediction_mgal
43.99375,42.00625,136.15,106.27743,137.84813
43.99375,42.01875,132.64,103.87978,135.11197
43.99375,42.03125,127.88,99.04175,129.94974
43.99375,42.04375,122.33,94.69245,125.57117
43.99375,42.05625,129.0,100.417175,130.08688
43.99375,42.06875,144.27,114.18933,146.15826
43.99375,42.08125,144.96,114.90433,146.86533
43.99375,42.09375,130.34,102.89372,133.78519
43.99375,42.10625,139.23,110.41435,141.48927
43.99375,42.11875,132.66,105.42742,136.43399
43.99375,42.13125,144.43,117.70947,145.14119
43.99375,42.14375,168.46,141.05779,168.82855
43.99375,42.15625,186.16,158.31064,189.77399
43.99375,42.16875,170.75,142.91757,172.87064
43.99375,42.18125,169.46,140.56065,174.1326
43.99375,42.19375,170.68,141.67299,175.2964
43.99375,42.20625,184.16,155.64626,188.30298
43.99375,42.21875,183.94,155.68091,189.75653
43.99375,42.23125,182.8,154.18323,188.25037
43.99375,42.24375,182.94,154.11964,187.18454
43.99375,42.25625,168.91,142.48045,173.06177
43.99375,42.26875,175.58,146.9868,178.31876
43.99375,42.28125,161.79,133.40169,162.08975
43.99375,42.29375,142.47,116.15727,145.6044
43.99375,42.30625,155.19,125.35126,157.05194
43.99375,42.31875,140.25,111.27079,141.8577
43.99375,42.33125,125.65,99.46082,130.61826
43.99375,42.34375,143.29,114.17168,145.40361
43.99375,42.35625,147.26,119.530525,146.18855
43.99375,42.36875,156.49,130.71808,158.77579
43.99375,42.38125,173.18,143.9046,176.44841
43.99375,42.39375,171.66,142.99213,175.97057
43.99375,42.40625,165.05,138.45276,170.69055
43.99375,42.41875,165.61,138.80919,171.03188
43.99375,42.43125,167.18,139.74765,172.33131
43.99375,42.44375,163.79,136.00713,168.18173
43.99375,42.45625,170.48,140.93037,174.74448
43.99375,42.46875,167.62,138.79178,173.47423
43.99375,42.48125,168.52,139.0101,173.69218
43.99375,42.49375,168.64,139.13997,174.38618
43.99375,42.50625,167.99,138.52626,173.54192
43.99375,42.51875,167.19,137.55421,172.99878
43.99375,42.53125,166.07,136.50696,172.23518
43.99375,42.54375,164.79,135.33609,170.82002
43.99375,42.55625,163.63,134.02211,169.35995
43.99375,42.56875,162.43,132.7611,168.00266
43.99375,42.58125,161.88,132.28058,167.48997
43.99375,42.59375,161.01,131.20332,166.28397
43.99375,42.60625,158.5,128.97673,163.75983
43.99375,42.61875,157.64,128.08131,162.51222
43.99375,42.63125,156.79,126.95801,160.37518
43.99375,42.64375,153.53,123.802986,157.12347
43.99375,42.65625,152.37,122.82639,156.81836
43.99375,42.66875,150.1,120.681244,154.01755
43.99375,42.68125,149.57,120.03393,153.15848
43.99375,42.69375,148.2,118.55303,152.17827
43.99375,42.70625,145.58,115.849045,149.22556
43.99375,42.71875,141.6,111.60153,144.61462
43.99375,42.73125,131.36,103.93806,135.32733
43.99375,42.74375,127.88,99.90939,131.93506
43.99375,42.75625,131.1,101.162445,132.76189
43.99375,42.76875,123.75,94.545876,124.978325
43.99375,42.78125,114.5,87.068474,115.35814
43.99375,42.79375,102.86,75.895325,104.829956
43.99375,42.80625,113.88,84.311844,115.52569
43.99375,42.81875,120.75,90.37379,122.73665
43.99375,42.83125,112.77,85.11527,116.18955
43.99375,42.84375,115.44,86.35791,117.541405
43.99375,42.85625,119.17,89.16977,121.90008
43.99375,42.86875,117.22,87.40779,119.415054
43.99375,42.88125,114.2,84.42549,115.715744
43.99375,42.89375,111.64,81.926445,113.06204
43.99375,42.90625,110.14,81.07478,112.06789
43.99375,42.91875,119.93,89.69609,122.10964
43.99375,42.93125,119.37,89.066826,121.630325
43.99375,42.94375,114.81,84.58152,116.52715
43.99375,42.95625,111.65,82.052704,114.48766
43.99375,42.96875,113.07,83.78107,117.60497
43.99375,42.98125,112.03,83.04294,117.01686
43.99375,42.99375,109.33,85.361404,101.187744
43.98125,42.00625,139.31,110.561745,141.96347
43.98125,42.01875,141.45,112.00039,143.03418
43.98125,42.03125,137.42,107.92964,138.96371
43.98125,42.04375,124.88,98.02598,127.57619
43.98125,42.05625,131.55,103.26871,134.04759
43.98125,42.06875,135.54,107.171776,138.99274
43.98125,42.08125,141.82,112.741,144.44727
43.98125,42.09375,132.95,106.1485,136.85431
43.98125,42.10625,151.0,121.53007,153.18242
43.98125,42.11875,143.33,114.65409,145.32031
43.98125,42.13125,142.84,114.141525,142.64775
43.98125,42.14375,153.66,125.26601,152.17282
43.98125,42.15625,155.52,128.12206,155.59467
43.98125,42.16875,163.09,136.16676,164.83818
43.98125,42.18125,171.75,142.53377,175.71321
43.98125,42.19375,173.82,145.16333,176.01962
43.98125,42.20625,183.71,156.16248,188.91628
43.98125,42.21875,194.65,165.98535,200.9149
43.98125,42.23125,182.22,155.56679,187.43636
43.98125,42.24375,169.62,142.577,173.43605
43.98125,42.25625,162.57,135.49277,165.42867
43.98125,42.26875,154.01,128.884,157.07738
43.98125,42.28125,159.12,129.7362,158.0652
43.98125,42.29375,153.58,124.69285,156.02264
43.98125,42.30625,134.27,107.682594,137.72061
43.98125,42.31875,128.73,101.76742,131.94923
43.98125,42.33125,135.45,107.90895,136.47835
43.98125,42.34375,141.26,114.00087,143.10297
43.98125,42.35625,154.53,126.30763,153.92596
43.98125,42.36875,178.43,151.04745,181.6195
43.98125,42.38125,179.78,151.30238,182.99321
43.98125,42.39375,175.19,148.52455,180.14899
43.98125,42.40625,184.62,155.14069,188.87308
43.98125,42.41875,184.37,155.12796,189.08574
43.98125,42.43125,179.02,150.65024,184.44725
43.98125,42.44375,180.1,150.53542,184.77525
43.98125,42.45625,179.07,149.55095,183.69205
43.98125,42.46875,178.52,148.88571,183.90858
43.98125,42.48125,175.12,145.99828,180.64452
43.98125,42.49375,175.61,146.3917,179.29265
43.98125,42.50625,165.04,138.05191,167.90874
43.98125,42.51875,168.04,139.10596,170.91058
43.98125,42.53125,170.61,141.13567,173.7727
43.98125,42.54375,168.41,138.94774,171.65881
43.98125,42.55625,167.93,138.39499,171.03345
43.98125,42.56875,169.32,140.02036,173.57037
43.98125,42.58125,168.35,138.87004,172.35966
43.98125,42.59375,166.98,137.76562,170.71783
43.98125,42.60625,165.87,136.78444,169.58058
43.98125,42.61875,163.93,134.7581,167.82132
43.98125,42.63125,161.9,132.85358,165.82063
43.98125,42.64375,161.04,131.23322,164.2048
43.98125,42.65625,161.1,131.60075,165.78268
43.98125,42.66875,160.24,130.42706,164.96428
43.98125,42.68125,157.22,127.57499,161.93459
43.98125,42.69375,153.93,124.25371,157.7459
43.98125,42.70625,147.25,118.297386,150.31
43.98125,42.71875,145.19,115.414375,147.17267
43.98125,42.73125,137.94,109.23255,140.09822
43.98125,42.74375,142.47,112.35152,144.3271
43.98125,42.75625,139.04,108.74068,139.04268
43.98125,42.76875,133.7,103.536194,133.44693
43.98125,42.78125,121.88,93.03791,122.34659
43.98125,42.79375,103.31,76.51557,106.5611
43.98125,42.80625,112.8,85.10173,114.36471
43.98125,42.81875,118.79,90.12318,120.30854
43.98125,42.83125,126.33,96.42049,127.84227
43.98125,42.84375,123.74,94.30074,125.20878
43.98125,42.85625,126.94,96.850655,128.48698
43.98125,42.86875,125.19,95.1934,126.309944
43.98125,42.88125,120.8,91.92279,122.265274
43.98125,42.89375,125.47,95.50198,126.86782
43.98125,42.90625,123.02,93.274185,124.77025
43.98125,42.91875,120.13,90.02991,121.172386
43.98125,42.93125,119.29,89.0524,121.15199
43.98125,42.94375,116.83,86.6441,118.92173
43.98125,42.95625,114.1,84.221344,116.66299
43.98125,42.96875,110.97,81.66498,113.937454
43.98125,42.98125,106.49,78.55002,111.50267
43.98125,42.99375,102.63,79.96266,94.75899
43.96875,42.00625,149.46,120.33929,152.34705
43.96875,42.01875,147.98,118.890656,150.25162
43.96875,42.03125,148.67,118.57209,150.07016
43.96875,42.04375,129.0,102.489,131.90634
43.96875,42.05625,146.28,116.38495,147.52744
43.96875,42.06875,140.79,112.837654,143.21805
